,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
395,39E682,36000.0,52.37521,6.60034,2025-05-24 14:42:52.178310645+02:00,-92.1078172578202,zi-5067,,,,23.157438279811107
486,39E682,36000.0,52.35888,6.58089,2025-05-24 14:43:01.242911397+02:00,-40.80624952136621,zi-5110,,,,23.081792982739934
487,39E682,36000.0,52.35888,6.58089,2025-05-24 14:43:01.246737810+02:00,-98.85140363191613,zi-5067,,,,23.081792982739934
473,39E682,36000.0,52.3607,6.58309,2025-05-24 14:43:00.263280636+02:00,-94.26956030448005,zi-5067,,,,23.077596277438243
460,39E682,36000.0,52.36247,6.58521,2025-05-24 14:42:59.169176444+02:00,-39.79384374498146,zi-5110,,,,23.07722544647988
389,486493,29400.0,52.16331,7.17033,2025-05-24 14:42:51.630699385+02:00,-38.45776904605882,zi-5110,,,,22.888914395211216
412,486493,29375.0,52.1649,7.16599,2025-05-24 14:42:53.489281064+02:00,-38.19162211794624,zi-5110,,,,22.54857294734831
420,486493,29350.0,52.16592,7.16347,2025-05-24 14:42:54.577861080+02:00,-35.2036929880943,zi-5110,,,,22.34708776544738
437,486493,29300.0,52.16788,7.15853,2025-05-24 14:42:56.547358082+02:00,-26.04419321077157,zi-5110,,,,21.953958233688027
456,486493,29250.0,52.16993,7.15375,2025-05-24 14:42:58.731702742+02:00,-28.161143442694225,zi-5110,,,,21.567749741146624
480,486493,29225.0,52.17201,7.14905,2025-05-24 14:43:00.806445185+02:00,-37.68753109451454,zi-5110,,,,21.185913939670794
492,486493,29200.0,52.17305,7.14684,2025-05-24 14:43:01.897328627+02:00,-30.674908312821415,zi-5110,,,,21.004129512842464
263,486265,6000.0,52.12468,6.79591,2025-05-24 14:42:37.654299321+02:00,-87.87149708523236,zi-5067,,,,13.398161103424348
283,486265,6000.0,52.12529,6.79371,2025-05-24 14:42:40.163228127+02:00,-102.68519854389922,zi-5067,,,,13.382191678463206
291,486265,6000.0,52.12556,6.79261,2025-05-24 14:42:41.256178950+02:00,-92.93465446215421,zi-5067,,,,13.378629029475459
309,486265,6000.0,52.12603,6.79081,2025-05-24 14:42:43.224492419+02:00,-86.26065151620408,zi-5067,,,,13.370904560493118
312,486265,6000.0,52.12612,6.79041,2025-05-24 14:42:43.661556649+02:00,-82.79130389116963,zi-5067,,,,13.37087600491049
319,486265,6000.0,52.12628,6.79001,2025-05-24 14:42:44.205669259+02:00,-85.12990073998677,zi-5067,,,,13.363608613810129
350,486265,6000.0,52.12724,6.78635,2025-05-24 14:42:48.140965919+02:00,-113.1753064939521,zi-5067,,,,13.352778143723896
344,486265,6000.0,52.12715,6.78673,2025-05-24 14:42:47.704412587+02:00,-98.3989329210434,zi-5067,,,,13.352644629890323
340,486265,6000.0,52.12706,6.78711,2025-05-24 14:42:47.372404419+02:00,-99.8779254890689,zi-5067,,,,13.352568845192312
493,486265,6000.0,52.13059,6.77386,2025-05-24 14:43:02.012545447+02:00,-176.2356377126942,zi-5067,,,,13.349879581073468
490,486265,6000.0,52.1305,6.77417,2025-05-24 14:43:01.681435100+02:00,-195.07998359647254,zi-5067,,,,13.349857941579664
357,486265,6000.0,52.12738,6.78594,2025-05-24 14:42:48.685665866+02:00,-112.2477171260066,zi-5067,,,,13.348551075594848
366,486265,6000.0,52.12761,6.785,2025-05-24 14:42:49.669105989+02:00,-110.27669744782894,zi-5067,,,,13.348532073867721
481,486265,6000.0,52.13036,6.77472,2025-05-24 14:43:01.029198595+02:00,-188.48501266679003,zi-5067,,,,13.347939474427934
